Henry IV
# of Unique Words: 4322

PRINCE HENRY......#lines:170......#words:4391
FALSTAFF......#lines:151......#words:5530
HOTSPUR......#lines:101......#words:4310
POINS......#lines:36......#words:589
EARL OF WORCESTER......#lines:34......#words:1411

-------------------------------------------------------
Henry VI Part 1
# of Unique Words: 4311

TALBOT......#lines:56......#words:3146
GLOUCESTER......#lines:47......#words:1509
JOAN LA PUCELLE......#lines:46......#words:1989
CHARLES......#lines:40......#words:1029
SUFFOLK......#lines:40......#words:1253

-------------------------------------------------------
Henry VI Part 2
# of Unique Words: 4577

KING HENRY VI......#lines:82......#words:2499
GLOUCESTER......#lines:69......#words:2371
SUFFOLK......#lines:66......#words:2292
QUEEN MARGARET......#lines:61......#words:2506
YORK......#lines:58......#words:3055

-------------------------------------------------------
Henry VI Part 3
# of Unique Words: 4017

WARWICK......#lines:98......#words:3427
KING EDWARD IV......#lines:98......#words:2420
KING HENRY VI......#lines:71......#words:2918
GLOUCESTER......#lines:66......#words:1948
QUEEN MARGARET......#lines:53......#words:2245

-------------------------------------------------------
Alls well that ends well
# of Unique Words: 3945

PAROLLES......#lines:141......#words:2966
HELENA......#lines:109......#words:3590
BERTRAM......#lines:102......#words:2046
LAFEU......#lines:98......#words:2246
COUNTESS......#lines:87......#words:2164

-------------------------------------------------------
As you like it
# of Unique Words: 3679

ROSALIND......#lines:201......#words:5697
ORLANDO......#lines:120......#words:2375
CELIA......#lines:108......#words:2106
TOUCHSTONE......#lines:74......#words:2370
JAQUES......#lines:56......#words:1777

-------------------------------------------------------
Antony and Cleopatra
# of Unique Words: 4531

CLEOPATRA......#lines:204......#words:4698
MARK ANTONY......#lines:201......#words:5937
DOMITIUS ENOBARBUS......#lines:112......#words:2511
OCTAVIUS CAESAR......#lines:96......#words:2856
CHARMIAN......#lines:63......#words:623

-------------------------------------------------------
A Comedy of Errors
# of Unique Words: 2866

OF SYRACUSE......#lines:102......#words:2060
DROMIO OF SYRACUSE......#lines:99......#words:2160
ADRIANA......#lines:79......#words:2106
OF EPHESUS......#lines:73......#words:1711
DROMIO OF EPHESUS......#lines:63......#words:1380

-------------------------------------------------------
Coriolanus
# of Unique Words: 4679

MENENIUS......#lines:162......#words:4243
CORIOLANUS......#lines:149......#words:4813
SICINIUS......#lines:117......#words:1879
BRUTUS......#lines:91......#words:1573
COMINIUS......#lines:67......#words:1969

-------------------------------------------------------
Cymbeline
# of Unique Words: 4980

IMOGEN......#lines:118......#words:4394
CYMBELINE......#lines:80......#words:1994
POSTHUMUS LEONATUS......#lines:76......#words:3162
IACHIMO......#lines:76......#words:3169
CLOTEN......#lines:75......#words:2028

-------------------------------------------------------
